user,id,rating
AE23JYHGEN3D35CHE5OQQYJOW5RA,B000EEHKVY,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B000TGSM6E,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B008FDSWJ0,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B012VQ5A7S,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B076ZSHQ47,3.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B08LRLRRKM,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B08SJY4T7K,5.0
AE23JYHGEN3D35CHE5OQQYJOW5RA,B09YDBKT7M,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B005M0MUQK,4.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B007T8CUNG,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B008BPI2OW,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B00CGFRJ2Y,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B00CRQWMYM,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B015IJIO5U,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B07F69KR6K,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0853X3VDC,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B09198262S,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0928HW2P4,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B09NLV5LBK,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0B3MWSSYF,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0B8F6LD9F,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0B95V41NR,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0BG95DG2H,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0BPJ4Q6FJ,5.0
AE23LDQTB7L76AP6E6WPBFVYL5DA,B0BSR996X8,5.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,1423414357,5.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B00356J8KE,1.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B00X7DDGBW,1.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B06W2NS7RW,5.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B074GXRXVR,4.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B07JL1KFT3,5.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B07TDNWYSB,5.0
AE23WLBRYKEC67DM43M6E2MF7GPQ,B0BT9R8MMV,3.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0002CZVWS,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B000NGVQKO,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B005PGGU9O,3.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B00CPLODUU,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B00PH2M4KK,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B00RX5HQS4,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B00VSYN25M,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0150YC54E,3.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B015QK3GUO,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B06XB3FQKB,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0719KM5Y8,4.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B079QDMQHF,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B07BHJH2Y8,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B07N2WWT61,3.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B07NDJ1HSG,4.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B07V46KRD8,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B08R5GM6YB,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B09G5KLKX2,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B09TXP3FSK,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0B2LSX437,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0B8Z5LTZ2,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0B95V41NR,4.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BKZ1GPM7,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BKZ2S4PC,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BPLFP5P6,3.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BR2THBR2,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BSCFTV2G,5.0
AE23ZFVUOMPKR57BVSWXV34QLMVA,B0BTC9YJ2W,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B00GG20DJ4,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B07JMQQC91,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B07M6B3RDW,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B095HFR233,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B0B5SJVY85,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B0BCK6L7S5,5.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B0C5CTX5LZ,3.0
AE24I2EU3AJAAKBXF367XSV37U6Q,B0C994NVQK,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B0002E3FBA,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B0018TG8HQ,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B00OYUSHJS,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B01DK1RHK6,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B01H0PACWI,5.0
AE24ZJSXZFHFKZF3UYR5CBAYGL7A,B09JJ784V5,5.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B01DE4DPSC,5.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B079P9LDHN,5.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B07BHM7RKB,4.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B07NKT1QQK,3.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B0928HW2P4,5.0
AE25GU3LWQGZJN4NNT5GWAGBN2KA,B09NWCD36N,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B0107BCV1M,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B01M4HO2S1,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B0799734T4,4.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B08GNZPHHF,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B08R8FSFRB,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B09PBL98Q4,1.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B09V91H5XM,5.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B09ZTWQPCH,3.0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,B0BSGM6CQ9,5.0
AE2AVSTY2ZSZUSXZA7GWMXC56ITQ,B0150YC54E,5.0
AE2AVSTY2ZSZUSXZA7GWMXC56ITQ,B07T1P4V9V,5.0
AE2AVSTY2ZSZUSXZA7GWMXC56ITQ,B0C994NVQK,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B00HTWQYSO,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B00I9FL3OA,4.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B00TH3YPDE,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B01DPCONFM,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B0817CVBLV,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B09PWCF6T9,4.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B09TQ5K47S,5.0
AE2BCWBDERZKN3ACIXQQISI3LHPA,B0B8YWPB3K,5.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B00WHLLDWO,5.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B012VQ5A7S,5.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B07C9YCY5J,5.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B07ZWHY5TD,2.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B09KR857F4,2.0
AE2BETZH5DRTVRVCBYP7PA4NDBPA,B0BTC9YJ2W,5.0
AE2BONZRGGSHEQSHMXC4UGO5BPMQ,B08RXRQFRJ,5.0
