user,id,rating,timestamp
0,17,1.0,1280262779000
0,41,1.0,1365571074000
0,75,1.0,1153777183000
0,78,1.0,1153622517000
0,79,1.0,1162775148000
0,81,1.0,1166336187000
0,89,1.0,1365007505000
0,141,1.0,1153622149000
0,243,1.0,1166337351000
0,289,1.0,1191619709000
0,341,1.0,1394502948000
0,362,1.0,1166336519000
0,506,1.0,1409076529000
0,1613,1.0,1381075946000
1,486,1.0,1279114638000
1,641,1.0,1293652962000
1,663,1.0,1299926569000
1,1027,1.0,1417073728000
1,1542,1.0,1470254688000
2,857,1.0,1426084403000
2,877,1.0,1426084103000
2,1230,1.0,1372177764000
2,1408,1.0,1630040231583
2,1410,1.0,1630420585881
2,1505,1.0,1630038680373
2,1582,1.0,1630040501217
2,1588,1.0,1630419981537
2,1607,1.0,1630040185480
2,1646,1.0,1630040423063
2,1669,1.0,1630037442513
3,144,1.0,1318780476000
3,148,1.0,1286746507000
3,327,1.0,1301607488000
3,476,1.0,1301607300000
3,515,1.0,1298942908000
3,586,1.0,1289506766000
3,595,1.0,1528331393022
3,600,1.0,1422627318000
3,673,1.0,1319604230000
3,685,1.0,1400627134000
3,699,1.0,1321901150000
3,739,1.0,1315355032000
3,800,1.0,1397915135000
3,829,1.0,1404270358000
3,859,1.0,1407554289000
3,895,1.0,1384608244000
3,896,1.0,1388608462000
3,898,1.0,1410697125000
3,916,1.0,1392948705000
3,951,1.0,1476555606000
3,992,1.0,1405256913000
3,1013,1.0,1415994134000
3,1017,1.0,1419166520000
3,1027,1.0,1421581094000
3,1031,1.0,1415512852000
3,1035,1.0,1417702655000
3,1044,1.0,1416103146000
3,1047,1.0,1422626629000
3,1060,1.0,1427513588000
3,1062,1.0,1435506018000
3,1093,1.0,1477488362000
3,1098,1.0,1422809365000
3,1116,1.0,1436792137000
3,1184,1.0,1475894461000
3,1197,1.0,1476278147000
3,1341,1.0,1542643467448
3,1371,1.0,1477920179000
3,1384,1.0,1545962499801
3,1475,1.0,1482849861000
3,1483,1.0,1477488446000
3,1484,1.0,1477488287000
3,1512,1.0,1396488229000
3,1523,1.0,1416429826000
3,1532,1.0,1454182298000
3,1533,1.0,1437793098000
3,1544,1.0,1416574085000
4,988,1.0,1406203142000
4,1054,1.0,1446206999000
4,1058,1.0,1430938738000
4,1168,1.0,1446206945000
4,1169,1.0,1446206975000
4,1178,1.0,1461000782000
4,1214,1.0,1458646172000
4,1301,1.0,1552504606160
4,1319,1.0,1469621980000
4,1337,1.0,1518727734792
4,1354,1.0,1527254122088
4,1369,1.0,1534534459976
4,1372,1.0,1518727731167
4,1568,1.0,1490295838000
4,1689,1.0,1599134279099
5,1077,1.0,1524326168820
5,1160,1.0,1514420830310
5,1161,1.0,1514420905881
5,1162,1.0,1514421238560
5,1263,1.0,1490504760000
5,1294,1.0,1492828872000
5,1295,1.0,1518586925832
5,1298,1.0,1514420116111
5,1306,1.0,1493790650000
